ID,Team,Games,Event,Medal
1534,Australia,1996 Summer,Cycling Mens Team Pursuit 4000 metres,Bronze
1534,Australia,2000 Summer,Cycling Mens Madison,Gold
1540,Ukraine,2008 Summer,Shooting Mens Small-Bore Rifle Prone 50 metres,Gold
1546,Greece,2000 Summer,Rhythmic Gymnastics Womens Group,Bronze
1551,Nigeria,2016 Summer,Football Mens Football,Bronze
1554,Cuba,1992 Summer,Baseball Mens Baseball,Gold
1554,Cuba,1996 Summer,Baseball Mens Baseball,Gold
1554,Cuba,2000 Summer,Baseball Mens Baseball,Silver
1556,Nigeria,2008 Summer,Football Mens Football,Silver
1561,Canada,2016 Summer,Athletics Mens 4 x 100 metres Relay,Bronze
1564,Nigeria,1996 Summer,Athletics Womens Long Jump,Gold
1569,Great Britain,1984 Summer,Athletics Mens 4 x 400 metres Relay,Silver
1569,Great Britain,1992 Summer,Athletics Mens 400 metres Hurdles,Bronze
1569,Great Britain,1992 Summer,Athletics Mens 4 x 400 metres Relay,Bronze
1574,Japan,1984 Summer,Wrestling Mens Featherweight Freestyle,Silver
1574,Japan,1992 Summer,Wrestling Mens Lightweight Freestyle,Bronze
1579,Turkey,1948 Summer,Wrestling Mens Bantamweight Freestyle,Gold
1581,Japan,1992 Winter,Short Track Speed Skating Mens 5000 metres Relay,Bronze
1595,Turkey,1956 Summer,Wrestling Mens Flyweight Freestyle,Bronze
1595,Turkey,1964 Summer,Wrestling Mens Bantamweight Freestyle,Silver
1601,Turkey,1972 Summer,Wrestling Mens Featherweight Freestyle,Silver
1618,Sweden,1948 Summer,Canoeing Mens Kayak Doubles 10000 metres,Gold
1618,Sweden,1952 Summer,Canoeing Mens Kayak Doubles 10000 metres,Silver
1622,United States,1996 Summer,Football Womens Football,Gold
1634,Turkey,2016 Summer,Wrestling Mens Super-Heavyweight Freestyle,Gold
1637,Soviet Union,1980 Summer,Volleyball Womens Volleyball,Gold
1639,Russia,1998 Winter,Biathlon Womens 4 x 7.5 kilometres Relay,Silver
1639,Russia,2002 Winter,Biathlon Womens 4 x 7.5 kilometres Relay,Bronze
1639,Russia,2006 Winter,Biathlon Womens 10 kilometres Pursuit,Bronze
1639,Russia,2006 Winter,Biathlon Womens 15 kilometres,Bronze
1639,Russia,2006 Winter,Biathlon Womens 4 x 6 kilometres Relay,Gold
1647,Uzbekistan,2016 Summer,Boxing Mens Bantamweight,Bronze
1649,Russia,2016 Summer,Fencing Mens Foil Team,Gold
1650,Russia,2008 Summer,Wrestling Mens Super-Heavyweight Freestyle,Silver
1652,Bulgaria,1964 Summer,Wrestling Mens Heavyweight Freestyle,Silver
1654,Soviet Union,1980 Summer,Hockey Womens Hockey,Bronze
1659,Soviet Union,1960 Summer,Rowing Mens Coxless Fours,Bronze
1662,Pakistan,1968 Summer,Hockey Mens Hockey,Gold
1665,Pakistan,1984 Summer,Hockey Mens Hockey,Gold
1673,Uganda,1972 Summer,Athletics Mens 400 metres Hurdles,Gold
1676,Soviet Union,1972 Summer,Water Polo Mens Water Polo,Gold
1678,Soviet Union,1980 Summer,Water Polo Mens Water Polo,Gold
1682,United States,2016 Summer,Athletics Womens 4 x 100 metres Relay,Gold
1683,United States,2012 Summer,Volleyball Womens Volleyball,Silver
1683,United States,2016 Summer,Volleyball Womens Volleyball,Bronze
1698,Russia,2004 Summer,Weightlifting Mens Middle-Heavyweight,Silver
1698,Russia,2008 Summer,Weightlifting Mens Middle-Heavyweight,Bronze
1700,Russia,2000 Summer,Water Polo Womens Water Polo,Bronze
1713,Unified Team,1992 Summer,Weightlifting Mens Heavyweight II,Silver
1716,Nigeria,2016 Summer,Football Mens Football,Bronze
1730,United States,2016 Summer,Fencing Womens Sabre Team,Bronze
1732,Soviet Union,1976 Summer,Athletics Womens 4 x 400 metres Relay,Bronze
1734,Soviet Union,1976 Summer,Athletics Mens 4 x 100 metres Relay,Bronze
1734,Soviet Union,1980 Summer,Athletics Mens 4 x 100 metres Relay,Gold
1740,Russia,1996 Summer,Rowing Mens Coxed Eights,Bronze
1742,Soviet Union,1980 Summer,Swimming Womens 4 x 100 metres Medley Relay,Bronze
1762,Syria,2004 Summer,Boxing Mens Heavyweight,Bronze
1809,Qatar,2012 Summer,Shooting Mens Skeet,Bronze
1858,Kuwait,2000 Summer,Shooting Mens Double Trap,Bronze
1858,Kuwait,2012 Summer,Shooting Mens Trap,Bronze
1858,Individual Olympic Athletes,2016 Summer,Shooting Mens Double Trap,Gold
1885,Saudi Arabia,2012 Summer,Equestrianism Mixed Jumping Team,Bronze
1889,Saudi Arabia,2000 Summer,Equestrianism Mixed Jumping Individual,Bronze
1949,Pakistan,1984 Summer,Hockey Mens Hockey,Gold
2025,United Arab Emirates,2004 Summer,Shooting Mens Double Trap,Gold
2112,Individual Olympic Athletes,2016 Summer,Shooting Mens Skeet,Bronze
2134,Saudi Arabia,2012 Summer,Equestrianism Mixed Jumping Team,Bronze
2170,Saudi Arabia,2000 Summer,Athletics Mens 400 metres Hurdles,Silver
2212,Soviet Union,1964 Summer,Basketball Mens Basketball,Silver
2225,Soviet Union,1972 Summer,Wrestling Mens Flyweight Freestyle,Silver
2233,Pakistan,1956 Summer,Hockey Mens Hockey,Silver
2233,Pakistan,1960 Summer,Hockey Mens Hockey,Gold
2256,Croatia,1992 Summer,Basketball Mens Basketball,Silver
2274,Finland,1994 Winter,Ice Hockey Mens Ice Hockey,Bronze
2275,Finland,1960 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Gold
2296,Italy,1992 Winter,Cross Country Skiing Mens 10 kilometres,Silver
2296,Italy,1992 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Silver
2296,Italy,1994 Winter,Cross Country Skiing Mens 10 kilometres,Bronze
2296,Italy,1994 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Gold
2296,Italy,1998 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Silver
2302,France-3,1920 Summer,Tennis Mens Doubles,Bronze
2306,Russia,2012 Summer,Weightlifting Mens Super-Heavyweight,Bronze
2307,Spain,2000 Summer,Football Mens Football,Silver
2311,West Germany,1984 Summer,Cycling Mens Team Pursuit 4000 metres,Bronze
2313,Italy,1976 Summer,Water Polo Mens Water Polo,Silver
2322,Hungary,1960 Summer,Football Mens Football,Bronze
2342,Spain,2012 Summer,Handball Womens Handball,Bronze
2347,Denmark,1920 Summer,Gymnastics Mens Team All-Around Free System,Gold
2349,Sweden,1948 Summer,Athletics Mens 10000 metres,Bronze
2355,Italy,1968 Summer,Rowing Mens Coxless Fours,Bronze
2359,Russia,2008 Summer,Wrestling Mens Lightweight Greco-Roman,Gold
2367,Switzerland,1924 Summer,Rowing Mens Coxless Fours,Bronze
2367,Switzerland,1924 Summer,Rowing Mens Coxed Fours,Gold
2378,East Germany,1980 Winter,Speed Skating Womens 1000 metres,Bronze
2379,Switzerland,2002 Winter,Cross Country Skiing Womens 4 x 5 kilometres Relay,Bronze
2386,United States,1952 Winter,Figure Skating Womens Singles,Silver
2386,United States,1956 Winter,Figure Skating Womens Singles,Gold
2387,United States,1936 Summer,Athletics Mens High Jump,Silver
2389,Soviet Union,1960 Summer,Wrestling Mens Light-Heavyweight Freestyle,Bronze
2419,Brazil,1996 Summer,Football Mens Football,Bronze
2420,Cuba,1976 Summer,Boxing Mens Light-Welterweight,Silver
2420,Cuba,1980 Summer,Boxing Mens Welterweight,Gold
2434,Great Britain,1920 Summer,Cycling Mens Team Pursuit 4000 metres,Silver
2434,Great Britain,1920 Summer,Cycling Mens 50 kilometres,Silver
2434,Great Britain,1924 Summer,Cycling Mens 50 kilometres,Silver
2440,United States,1928 Summer,Athletics Mens 4 x 400 metres Relay,Gold
2443,United States,1952 Summer,Swimming Womens 4 x 100 metres Freestyle Relay,Bronze
2458,Spain,2008 Summer,Hockey Mens Hockey,Silver
2460,Spain,2008 Summer,Hockey Mens Hockey,Silver
2469,Lithuania,2000 Summer,Athletics Mens Discus Throw,Gold
2469,Lithuania,2004 Summer,Athletics Mens Discus Throw,Gold
2469,Lithuania,2008 Summer,Athletics Mens Discus Throw,Bronze
2473,Soviet Union,1976 Winter,Ice Hockey Mens Ice Hockey,Gold
2483,Bulgaria,1980 Summer,Weightlifting Mens Middle-Heavyweight,Silver
2486,Soviet Union,1960 Winter,Ice Hockey Mens Ice Hockey,Bronze
2486,Soviet Union,1964 Winter,Ice Hockey Mens Ice Hockey,Gold
2486,Soviet Union,1968 Winter,Ice Hockey Mens Ice Hockey,Gold
2487,Soviet Union-2,1984 Winter,Bobsleigh Mens Two,Bronze
2495,Soviet Union,1976 Summer,Rowing Womens Coxed Quadruple Sculls,Silver
2495,Soviet Union,1980 Summer,Rowing Womens Double Sculls,Gold
2497,Armenia,2012 Summer,Wrestling Mens Heavyweight Greco-Roman,Bronze
2497,Armenia,2016 Summer,Wrestling Mens Heavyweight Greco-Roman,Gold
2511,Soviet Union,1972 Summer,Weightlifting Mens Super-Heavyweight,Gold
2511,Soviet Union,1976 Summer,Weightlifting Mens Super-Heavyweight,Gold
2513,Soviet Union,1964 Summer,Diving Womens Platform,Bronze
2517,Serbia,2012 Summer,Water Polo Mens Water Polo,Bronze
2517,Serbia,2016 Summer,Water Polo Mens Water Polo,Gold
2546,Brazil,1996 Summer,Basketball Womens Basketball,Silver
2546,Brazil,2000 Summer,Basketball Womens Basketball,Bronze
2552,United States,1932 Summer,Fencing Mens Foil Team,Bronze
2553,Germany,1932 Summer,Rowing Mens Coxless Fours,Silver
2559,Brazil,2012 Summer,Football Mens Football,Silver
2570,Great Britain,1908 Summer,Lacrosse Mens Lacrosse,Silver
2575,Canada,1996 Summer,Synchronized Swimming Womens Team,Silver
2576,Great Britain,1960 Summer,Fencing Mens epee Team,Silver
2583,Canada,2000 Summer,Rowing Womens Coxed Eights,Bronze
2589,France,1984 Summer,Judo Mens Half-Lightweight,Bronze
2589,France,1988 Summer,Judo Mens Lightweight,Gold
2592,Brazil,2008 Summer,Football Mens Football,Bronze
2592,Brazil,2012 Summer,Football Mens Football,Silver
2597,Romania,1980 Summer,Wrestling Mens Light-Flyweight Greco-Roman,Silver
2599,Romania,1972 Summer,Boxing Mens Heavyweight,Silver
2607,Soviet Union,1976 Summer,Diving Mens Platform,Bronze
2607,Soviet Union,1980 Summer,Diving Mens Platform,Silver
2608,Russia,2000 Summer,Shooting Mens Air Rifle 10 metres,Bronze
2610,Niger,2016 Summer,Taekwondo Mens Heavyweight,Silver
2619,Soviet Union,1976 Summer,Athletics Womens Long Jump,Bronze
2629,Spain,1992 Summer,Football Mens Football,Gold
2636,United States,1984 Summer,Basketball Mens Basketball,Gold
2638,Sweden,1924 Summer,Football Mens Football,Bronze
2639,Sweden,2006 Winter,Ice Hockey Mens Ice Hockey,Gold
2639,Sweden,2014 Winter,Ice Hockey Mens Ice Hockey,Silver
2648,Brazil,1948 Summer,Basketball Mens Basketball,Bronze
2648,Brazil,1960 Summer,Basketball Mens Basketball,Bronze
2649,Sweden,1994 Winter,Ice Hockey Mens Ice Hockey,Gold
2651,Sweden,2012 Summer,Equestrianism Mixed Three-Day Event Individual,Silver
2694,Pakistan,1984 Summer,Hockey Mens Hockey,Gold
2695,United States,2016 Summer,Athletics Womens 100 metres Hurdles,Silver
2699,India,1928 Summer,Hockey Mens Hockey,Gold
2703,India,1964 Summer,Hockey Mens Hockey,Gold
2715,France,1920 Summer,Athletics Mens 4 x 100 metres Relay,Silver
2722,Iran,1972 Summer,Wrestling Mens Light-Flyweight Greco-Roman,Silver
2723,France,1908 Summer,Fencing Mens epee Individual,Gold
2723,France,1908 Summer,Fencing Mens epee Team,Gold
2735,Russia,2000 Summer,Shooting Mens Rapid-Fire Pistol 25 metres,Gold
2735,Russia,2004 Summer,Shooting Mens Rapid-Fire Pistol 25 metres,Bronze
2737,Soviet Union,1980 Winter,Biathlon Mens 10 kilometres Sprint,Silver
2737,Soviet Union,1980 Winter,Biathlon Mens 4 x 7.5 kilometres Relay,Gold
2739,Croatia,2012 Summer,Handball Mens Handball,Bronze
2750,Brazil,2004 Summer,Football Womens Football,Silver
2755,Russia,2004 Summer,Shooting Mens Trap,Gold
2755,Russia,2008 Summer,Shooting Mens Trap,Bronze
2756,Greece,1906 Summer,Gymnastics Mens Rope Climbing,Gold
2758,Brazil-1,2012 Summer,Beach Volleyball Mens Beach Volleyball,Silver
2758,Brazil-1,2016 Summer,Beach Volleyball Mens Beach Volleyball,Gold
2760,Nigeria,2004 Summer,Athletics Mens 4 x 100 metres Relay,Bronze
2762,Russia,2008 Summer,Rhythmic Gymnastics Womens Group,Gold
2769,Iran,2016 Summer,Taekwondo Womens Featherweight,Bronze
2785,Belgium,1920 Summer,Archery Mens Target Archery 28 metres Team,Silver
2785,Belgium,1920 Summer,Archery Mens Target Archery 33 metres Team,Gold
2785,Belgium,1920 Summer,Archery Mens Target Archery 50 metres Team,Gold
2786,Unified Team,1992 Winter,Short Track Speed Skating Womens 3000 metres Relay,Bronze
2792,France,1936 Winter,Alpine Skiing Mens Combined,Bronze
2794,Algeria,2000 Summer,Boxing Mens Light-Welterweight,Bronze
2799,France,1992 Winter,Freestyle Skiing Mens Moguls,Silver
2800,Great Britain,1984 Summer,Shooting Mens Small-Bore Rifle Three Positions 50 metres,Bronze
2800,Great Britain,1988 Summer,Shooting Mens Small-Bore Rifle Three Positions 50 metres,Silver
2829,USFSA,1900 Summer,Football Mens Football,Silver
2833,United States,1996 Summer,Baseball Mens Baseball,Bronze
2849,Austria,2004 Summer,Triathlon Womens Olympic Distance,Gold
2850,Australia,2000 Summer,Hockey Womens Hockey,Gold
2861,Jamaica,2016 Summer,Athletics Mens 4 x 400 metres Relay,Silver
2863,United States,2000 Summer,Basketball Mens Basketball,Gold
2864,India,1928 Summer,Hockey Mens Hockey,Gold
2864,India,1932 Summer,Hockey Mens Hockey,Gold
2864,India,1936 Summer,Hockey Mens Hockey,Gold
2869,United States,1964 Winter,Figure Skating Mens Singles,Bronze
2871,United States,1920 Summer,Polo Mens Polo,Bronze
2874,United States,2004 Summer,Rowing Mens Coxed Eights,Gold
2874,United States,2008 Summer,Rowing Mens Coxed Eights,Bronze
2875,Australia,2000 Summer,Softball Womens Softball,Bronze
2875,Australia,2004 Summer,Softball Womens Softball,Silver
2875,Australia,2008 Summer,Softball Womens Softball,Bronze
2877,Great Britain,2000 Summer,Modern Pentathlon Womens Individual,Bronze
2882,Nykjbings paa Falster,1912 Summer,Rowing Mens Coxed Fours Inriggers,Gold
2892,Trinidad and Tobago,2012 Summer,Athletics Mens 4 x 400 metres Relay,Bronze
2894,Great Britain,1968 Summer,Equestrianism Mixed Three-Day Event Individual,Silver
2894,Great Britain,1968 Summer,Equestrianism Mixed Three-Day Event Team,Gold
2909,Canada,1936 Summer,Basketball Mens Basketball,Silver
2915,Ireland-2,1908 Summer,Hockey Mens Hockey,Silver
2917,Italy,1920 Summer,Fencing Mens epee Team,Gold
2929,United States,1964 Summer,Swimming Womens 4 x 100 metres Freestyle Relay,Gold
2930,Italy,2004 Summer,Water Polo Womens Water Polo,Gold
2942,Sweden,1920 Summer,Athletics Mens Cross-Country Team,Bronze
2965,Sweden,2002 Winter,Ice Hockey Womens Ice Hockey,Bronze
2987,Soviet Union,1960 Winter,Ice Hockey Mens Ice Hockey,Bronze
2987,Soviet Union,1964 Winter,Ice Hockey Mens Ice Hockey,Gold
2988,Argentina,1996 Summer,Football Mens Football,Silver
2989,Sweden,1936 Summer,Fencing Mens epee Team,Silver
2991,Mohawk Indians-2,1904 Summer,Lacrosse Mens Lacrosse,Bronze
2998,Sweden,1912 Summer,Athletics Mens Triple Jump,Bronze
2998,Sweden,1920 Summer,Athletics Mens Triple Jump,Bronze
3006,Sweden,1952 Winter,Ice Hockey Mens Ice Hockey,Bronze
3011,Sweden,1948 Summer,Athletics Mens 4 x 400 metres Relay,Bronze
3012,Cameroon,2000 Summer,Football Mens Football,Gold
3017,Brazil,1988 Summer,Football Mens Football,Silver
3029,Spain,2012 Summer,Handball Womens Handball,Bronze
3052,Russia,2012 Summer,Boxing Mens Flyweight,Bronze
3055,Nigeria,2000 Summer,Athletics Womens 100 metres Hurdles,Silver
3069,Norway,1994 Winter,Cross Country Skiing Mens 30 kilometres,Gold
3069,Norway,1994 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Silver
3069,Norway,1998 Winter,Cross Country Skiing Mens 10/15 kilometres Pursuit,Gold
3069,Norway,1998 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Gold
3069,Norway,2002 Winter,Cross Country Skiing Mens 10/10 kilometres Pursuit,Gold
3069,Norway,2002 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Gold
3070,Sweden,2000 Summer,Swimming Womens 50 metres Freestyle,Silver
3070,Sweden,2000 Summer,Swimming Womens 100 metres Freestyle,Silver
3070,Sweden,2000 Summer,Swimming Womens 4 x 100 metres Freestyle Relay,Bronze
3071,Soviet Union,1988 Summer,Fencing Mens Sabre Team,Silver
3077,Norway,2012 Summer,Handball Womens Handball,Gold
3077,Norway,2016 Summer,Handball Womens Handball,Bronze
3080,Switzerland-1,1956 Winter,Bobsleigh Mens Four,Gold
3093,Germany,2008 Summer,Canoeing Mens Kayak Fours 1000 metres,Bronze
3099,Germany,1992 Summer,Rowing Womens Coxless Pairs,Silver
3102,Italy,1912 Summer,Athletics Mens 10 kilometres Walk,Bronze
3108,Switzerland,2014 Winter,Ice Hockey Womens Ice Hockey,Bronze
3118,Great Britain,1948 Winter,Figure Skating Womens Singles,Bronze
3118,Great Britain,1952 Winter,Figure Skating Womens Singles,Gold
3147,Chile,2000 Summer,Football Mens Football,Bronze
3150,United States,2014 Winter,Short Track Speed Skating Mens 5000 metres Relay,Silver
3165,Spain,1928 Summer,Equestrianism Mens Jumping Team,Gold
3171,Cuba,1972 Summer,Basketball Mens Basketball,Bronze
3174,Cuba,2012 Summer,Boxing Mens Bantamweight,Bronze
3174,Cuba,2016 Summer,Boxing Mens Lightweight,Bronze
3206,Colombia,2012 Summer,Judo Womens Middleweight,Bronze
3206,Colombia,2016 Summer,Judo Womens Middleweight,Silver
3214,Italy-2,1956 Winter,Bobsleigh Mens Two,Silver
3214,Italy-2,1956 Winter,Bobsleigh Mens Four,Silver
3227,Brazil,2012 Summer,Volleyball Mens Volleyball,Silver
3231,Italy,1920 Summer,Equestrianism Mens Jumping Team,Bronze
3231,Italy,1924 Summer,Equestrianism Mens Three-Day Event Team,Bronze
3240,Egypt,2004 Summer,Boxing Mens Super-Heavyweight,Silver
3245,Soviet Union,1980 Winter,Biathlon Mens 10 kilometres Sprint,Bronze
3245,Soviet Union,1980 Winter,Biathlon Mens 20 kilometres,Gold
3245,Soviet Union,1980 Winter,Biathlon Mens 4 x 7.5 kilometres Relay,Gold
3248,Soviet Union,1980 Summer,Fencing Mens Sabre Team,Gold
3249,Russia,2000 Summer,Gymnastics Mens Team All-Around,Bronze
3251,Russia,2006 Winter,Cross Country Skiing Mens Team Sprint,Bronze
3257,Luxembourg,1920 Summer,Weightlifting Mens Heavyweight,Silver
3272,Ghana,1992 Summer,Football Mens Football,Bronze
3277,Mound City Rowing Club-2,1904 Summer,Rowing Mens Coxless Fours,Silver
3281,Romania,1996 Summer,Gymnastics Womens Individual All-Around,Bronze
3281,Romania,1996 Summer,Gymnastics Womens Team All-Around,Bronze
3281,Romania,1996 Summer,Gymnastics Womens Floor Exercise,Silver
3281,Romania,1996 Summer,Gymnastics Womens Horse Vault,Gold
3281,Romania,2000 Summer,Gymnastics Womens Individual All-Around,Gold
3281,Romania,2000 Summer,Gymnastics Womens Team All-Around,Gold
3281,Romania,2000 Summer,Gymnastics Womens Floor Exercise,Bronze
3285,Ghana,1992 Summer,Football Mens Football,Bronze
3289,Germany,1928 Summer,Water Polo Mens Water Polo,Gold
3295,Soviet Union,1980 Winter,Luge Womens Singles,Bronze
3301,Brazil,1996 Summer,Football Mens Football,Bronze
3308,Italy,2004 Summer,Rowing Mens Lightweight Coxless Fours,Bronze
3317,Ghana,1972 Summer,Boxing Mens Middleweight,Bronze
3319,Spain,1996 Summer,Hockey Mens Hockey,Silver
3321,France,1996 Summer,Shooting Mens Air Rifle 10 metres,Bronze
3321,France,1996 Summer,Shooting Mens Small-Bore Rifle Three Positions 50 metres,Gold
3322,Spain,1980 Summer,Hockey Mens Hockey,Silver
3323,Spain,1960 Summer,Hockey Mens Hockey,Bronze
3324,Spain,1996 Summer,Hockey Mens Hockey,Silver
3324,Spain,2008 Summer,Hockey Mens Hockey,Silver
3330,Brazil,1984 Summer,Volleyball Mens Volleyball,Silver
3330,Brazil,1992 Summer,Volleyball Mens Volleyball,Gold
3331,Brazil,1960 Summer,Basketball Mens Basketball,Bronze
3331,Brazil,1964 Summer,Basketball Mens Basketball,Bronze
3332,Spain,1992 Summer,Football Mens Football,Gold
3335,Spain,2000 Summer,Football Mens Football,Silver
3356,Italy,1960 Summer,Water Polo Mens Water Polo,Gold
3361,Nigeria,2008 Summer,Football Mens Football,Silver
3362,Italy,1928 Summer,Gymnastics Womens Team All-Around,Silver
3363,United States,2000 Summer,Softball Womens Softball,Gold
3365,Italy,1920 Summer,Athletics Mens 3000 metres Steeplechase,Bronze
3379,Hungary,1964 Summer,Water Polo Mens Water Polo,Gold
